Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Reason for use of limited tendering,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Variation comments,Commence date,Supplier ABN,Finish date,,
DoH_PD,33 Charlotte Street,Assurance Review,26/05/2022,"15,290.00",Information Professional Holdings,"PO Box 15390, City East QLD 4002",No,No,,,,,,,,,PD116071,Information and Communication Technology,ICT9281AS92,,26/05/2022,98164080200,13/07/2022,,
DoH_PD,33 Charlotte Street,System improvements,18/05/2022,"27,720.00",Modis Consulting Pty Ltd,L19/300 Adelaide Street BRISBANE  QLD  4000,Yes,No,,,,,,,,,PD108992,Information and Communication Technology,,,18/05/2022,25076517354,30/06/2022,,
DoH_PD,33 Charlotte Street,Provision of Wellbeing at Work training to medical interns in Qld ,1/07/2017,"193,624.09",Ama Queensland,"88 L'ESTRANGE TCE, KELVIN GROVE  QLD  4059",No,No,,,,,,,,,PD90842,General Goods and Services,,,1/07/2017,17009660280,31/12/2021,,
DoH_PD,33 Charlotte Street,Travel Accomodation expenses,20/07/2021,"16,776.22",HRS Australasia Pty Ltd,"Level 35/03 60 Margaret St, Sydney NSW 2000",No,No,,,,,,,,,,General Goods & Services,,,20/07/2021,42006852991,30/06/2022,,
DoH_PD,33 Charlotte Street,Travel Air Fares,6/07/2021,"13,603.07",QANTAS Airways Limited,PO Box 766 BRISBANE  QLD  4001,No,No,,,,,,,,,,General Goods & Services,,,13/07/2022,16009661901,30/06/2022,,
DoH_PD,33 Charlotte Street,Asset Company Extracts ,20/07/2021,"15,226.31",GLOBALX LEGAL SOLUTIONS (DYE & DURHAM SOLUTIONS PTY LTD),"Level 6, West Tower, 410 Ann St, Brisbane  QLD 4000",No,No,,,,,,,,,,General Goods & Services,,,20/07/2021,35099032596,30/06/2022,,
DoH_PD,33 Charlotte Street,Recruitment services,25/06/2021,"10,824.00",Merit Solutions Pty Ltd,SE 19 L 5  320 ADELAIDE ST BRISBANE  QLD  4000,No,No,,,,,,,,,,General Goods and Services,,,25/06/2021,76995128987,2/11/2021,,
DoH_PD,33 Charlotte Street,Changes to Vaccine Management System,7/10/2021,"425,397.50",NTT AUSTRALIA DIGITAL PTY LTD,201 SUSSEX ST DARLING PARK  NSW  2000,Yes,No,,,,,,,,,PD110559,Information and Communication Technology,ICT 9077,,7/10/2021,31100103268,12/05/2026,,
DoH_PD,33 Charlotte Street,Notifiable Conditions System (NoCs) Replacement  - System enhancements,30/12/2021,"2,112,585.28",Sunquest Information Systems P/L,Level 6 Suite 2 410 Ann Street Brisbane Qld 4000 ,Yes,No,Limited,,,,,,,,PD99134,Information and Communication Technology,,,30/12/2021,32620052404,14/05/2025,,
DoH_PD,33 Charlotte Street,ICT Contingency Labour,7/02/2022,"60,072.32",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,,,,,,,,,PD106367-39,Information and Communication Technology,GGS0060,,7/02/2022,70600569784,30/06/2022,,
