Agency,"Agency
Address",Contract description/name,Award contract date,"Contract Value ($)
(incl GST)",Supplier Name,Supplier Address,"Variation to Contract
(Yes/No)","Specific confidentiality provision used
(in contract)",Procurement method,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commencement Date,Finish date,Supplier ABN
DoH_PD,33 Charlotte Street,Supply of Injecting Equipment for Qld Needle and Syringe Program,1/07/2019,1502386.05,Asp Healthcare Pty Ltd,17 HARRIS ST ST MARYS  NSW  2760,No,No,Open,,,,,,,PD111156,Medical,QNSP15,1/07/2019,30/06/2020,45108259329
DoH_PD,33 Charlotte Street,Supply of Injecting Equipment for Qld Needle and Syringe Program,1/07/2019,314851.40,Clifford Hallam Healthcare P/L,U 2 & 3 14 LUKE ST  LYTTON  QLD  4178,No,No,Open,,,,,,,PD111703/PD111704,Medical,QNSP15,1/07/2019,30/06/2020,45108259329
DoH_PD,33 Charlotte Street,Supply of Injecting Equipment for Qld Needle and Syringe Program,1/07/2019,719828.42,Terumo Australia Pty Ltd,L 4  BLDG A  5 TALAVERA RD MACQUARIE PARK  NSW  2113,No,No,Open,,,,,,,4300722101,Medical,QNSP15,1/07/2019,30/06/2020,34158693595
DoH_PD,33 Charlotte Street,ICT Contingency Labour,1/07/2019,152622.25,Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,Yes,No,Select,,,,,,,PD74441-59,,,1/07/2019,30/06/2020,
DoH_PD,33 Charlotte Street,HIV Point of Care tests ,1/07/2019,121000.00,INVERNESS MEDICAL INNOVATIONS AUSTRALIA PTY LIMITED,"PO BOX 7063, East Brisbane QLD 4169",No,No,Limited,,,,,,,PD104249,,,1/07/2019,30/06/2020,
DoH_PD,33 Charlotte Street,State Wide Arborvirus Response and Mosquito Management System (SWARMMS) ,1/09/2019,1940842.00,RAPID MAP GLOBAL PTY LTD,Suite 22 2 Enterprise Drive Bundoora VIC 3083 ,No,No,Open,,,,,,,PD101939,,,1/09/2019,31/08/2023,
DoH_PD,33 Charlotte Street,ICT Contingency Labour,1/10/2019,161372.15,Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,Yes,No,Select,,,,,,,PD74441-48-1,,,1/10/2019,30/06/2020,
DoH_PD,33 Charlotte Street,ICT Contingency Labour,1/10/2019,302913.51,Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,Yes,No,Select,,,,,,,PD74441-57,,,1/10/2019,30/09/2020,
DoH_PD,33 Charlotte Street,Temporary Contractor,8/10/2019,167212.76,RANDSTAD PTY LIMITED,GPO Box 4640 SYDNEY 2000 ,No,No,Select,,,,,,,PD77110-21,,,8/10/2019,29/07/2020,
DoH_PD,33 Charlotte Street,ICT Contingency Labour,11/11/2019,285218.08,Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,Select,,,,,,,PD74441-65,,,11/11/2019,24/12/2020,
