Agency (Dept or Stat Body),Agency address,Contract description/ name,Award contract date,Contract value,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commence date,Supplier ABN,Finish date
Griffith University,"170 Kessels Road, Nathan Qld 4111",Medisoft Ergocard Cpx,8/10/2020,127828,Ascencia Pty Ltd,"28 Waverley Park Drive,  Mulgrave, Vic, 3170",No,No ,N/A,,,,,,,344823,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",24-Bit Bridge Ai Module,8/10/2020,17804,Braemac Pty Ltd,"Po Box 6107,  South Sydney Bc, Nsw, 2015",No,No ,N/A,,,,,,,344826,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Computing Maintenance & Support,8/10/2020,77737,Data #3 Limited,"Po Box 551,  Indooroopilly, Qld, 4068",No,No ,N/A,,,,,,,344831,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Computing Maintenance & Support,8/10/2020,38500,Icad Consultants Pty Ltd,"18 Centurion St,  Bridgeman Downs, Qld, 4035",No,No ,N/A,,,,,,,344825,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Noggin 2.0 Core 2020-2021 Subscription,8/10/2020,353242,Noggin Pty Ltd,"175 Liverpool Street,  Sydney, Nsw, 2000",Yes,No ,N/A,,,,,,,C01803,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",2019 Grow Bonus - Options Educ,8/10/2020,14300,Options Education Agency Pty Ltd,"Level 3, 118 King William Streetadelaide, Sa 5000",No,No ,N/A,,,,,,,1870478,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Laboratory Consumables,8/10/2020,18456,People In Plastic,"1876 Ipswich Road,  Rocklea, Qld, 4106",No,No ,N/A,,,,,,,344820,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111","S08 2.18 Film School, Construction Services Refurbishment ",8/10/2020,100685,Steadfast Projects Pty Ltd,"16 Ferndale Place,  Upper Kedron, Qld, 4055",No,No ,N/A,,,,,,,344822,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Gold Coast Fire Ring Main Upgrade,8/10/2020,10450,Turner & Townsend Pty Ltd,"Level 13, 140 Creek St,  Brisbane, Qld, 4000",No,No ,N/A,,,,,,,344816,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Panel Booth Hire,8/10/2020,11018,Valiant Hire,"16/50 Parker Court,  Pinkenba, Qld, 4008",No,No ,N/A,,,,,,,344847,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Demolition Of N14 Enternet Café,9/10/2020,21670,A1 Building & Property Solutions Pty Ltd,"3 D'Aguilar Road,  The Gap, Qld, 4061",No,No ,N/A,,,,,,,344870,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Software Licence,9/10/2020,18058,Gecko Labs Ltd,"116 Dundas Street,  Edinburgh, , Eh3 5Dq",No,No ,N/A,,,,,,,344862,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Biologicals/Chemicals,9/10/2020,12856,Life Technologies Australia - Use #72199,"30-32 Compark Circuits,  Mulgrave, Vic, 3170",No,No ,N/A,,,,,,,344863,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Safety Culture Improvement Project,9/10/2020,16238,Quattor P,Netherlands,No,No ,N/A,,,,,,,344873,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Infrastructure Services: 01/10,10/10/2020,48194,Aarnet,"Gpo Box 1559, Canberra, Act 2601",No,No ,N/A,,,,,,,1871234,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Closed Captioning Of Vides And Live Webinars,10/10/2020,18637,Access Innovation Media Pty Ltd,"Level 1, 103 Miller Street North Sydney, Nsw, 2060",No,No ,N/A,,,,,,,344890,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Fuq'S Video Production,10/10/2020,14560,Traffic Film & Video Production,"332 Montague Road,  West End, Qld, 4101",No,No ,N/A,,,,,,,344889,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Panel Booth Hire,10/10/2020,10699,Valiant Hire,"16/50 Parker Court,  Pinkenba, Qld, 4008",No,No ,N/A,,,,,,,344881,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Agency Fees - Search For Vice,11/10/2020,16500,Odgers Berndtson,"Level 2, 2 Bulletin Placesydney, Nsw 2000",No,No ,N/A,,,,,,,1870260,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Alice Pdx Core Kit,12/10/2020,13280,Cpap Direct,"Po Box 1407,  Buderim, Qld, 4556",No,No ,N/A,,,,,,,344901,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Artistic Trip In New Caledonia,12/10/2020,21201,Universite De La Nouvelle-Caledonie,"Bp R4 98851, Noumea Cedex,  ",No,No ,N/A,,,,,,,1873801,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Sewer Pit Repairs,13/10/2020,17853,Descab Pty Ltd T/A Qld Multi Trades,"34 Hindes Street,  Lota, Qld, 4178",No,No ,N/A,,,,,,,344966,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",G33 L2 Device Replacement ,13/10/2020,18356,Dylmount Pty Ltd,"Po Box 57,  Albion, Qld, 4010",No,No ,N/A,,,,,,,344975,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",G33 Detection Device Replacement,13/10/2020,14347,Dylmount Pty Ltd,"Po Box 57,  Albion, Qld, 4010",No,No ,N/A,,,,,,,344976,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Pedestrian Maintenance ,13/10/2020,12568,Logical Line Marking,"18 Ferguson Street,  Underwood, Qld, 4119",No,No ,N/A,,,,,,,344969,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Bench Top Autoclave,13/10/2020,37840,Paragon Care Group Australia Pty Ltd,"50-54 Clayton Road,  Clayton, Vic, 3168",No,No ,N/A,,,,,,,344980,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",S07 Chilled Water Connection,13/10/2020,280162,Premis Solutions Pty Ltd,"Po Box 114,  Toowong, Qld, 4066",No,No ,N/A,,,,,,,344973,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription 30/12/2020 - 29/12/2021,14/10/2020,31874,Australian Medicines Handbook Pty Ltd,"Po Box 240, Rundle Malladelaide, Sa 5000",No,No ,N/A,,,,,,,1872018,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Nvidia Telsa V100 32Gb For Hpe,14/10/2020,12925,Hewlett-Packard Australia Pty Ltd,"P O Box 221,  Blackburn, Vic, 3130",No,No ,N/A,,,,,,,345011,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",N44 Gas Store Upgrade,14/10/2020,116562,Quadric Pty Ltd,"31 Barry Parade,  Fortitude Valley, Qld, 4107",No,No ,N/A,,,,,,,345008,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Goanna Lounge Furniture Removal & Flooring,15/10/2020,16968,Amalgamated Property Maint. Brisbane P/L,"Po Box 249,  Rochedale South, Qld, 4123",No,No ,N/A,,,,,,,345063,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111","N45 Tech Annexe, Feasibility Study",15/10/2020,10670,Conrad Gargett Group,"Level 26, 240 Queen Street Brisbane, Qld, 4000",No,No ,N/A,,,,,,,345097,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Adaudit Plus Professional 2020-2021 Subscription,15/10/2020,26093,Datacom Systems (Au) Pty Ltd,"1 Julius Avenue,,  North Ryde, Nsw, 2113",No,No ,N/A,,,,,,,345082,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Scientific Services - 25 Augus,15/10/2020,11437,Gold Coast City Council,"Po Box 5042, Gold Coast Mail Centre, Qld 9729",No,No ,N/A,,,,,,,1870270,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Appointment Fees,15/10/2020,22000,Insight Management Consultants P/L,"Level 7, 230 Collins Street, Melbourne, Vic 3000",No,No ,N/A,,,,,,,1874451,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Milli-Q® Iq 7000 Purification System,15/10/2020,20497,Merck Pty Ltd,"Ground Floor, Building 1, 885 Mountain Highway Bayswater, Vic, 3153",No,No ,N/A,,,,,,,345066,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",T2 2020 Lead Referrals Commission,15/10/2020,337150,Open Universities Australia,"Level 1/473 Bourke St, Melbourne, Vic 3000",No,No ,N/A,,,,,,,1873699,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Telecommunications Expenditure,15/10/2020,155720,TPG Network Pty Ltd,"Gpo Box 3641, Sydney, Nsw 2001",No,No ,N/A,,,,,,,1873822,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",G40 Psychology Clinic (13 Rooms),15/10/2020,57278,Videopro Pty Ltd,"37 Eagleview Place,  Eagle Farm, Qld, 4009",No,No ,N/A,,,,,,,345076,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Indigovision System M24 Pyschology Clinic (13 Rooms),15/10/2020,57278,Videopro Pty Ltd,"37 Eagleview Place,  Eagle Farm, Qld, 4009",No,No ,N/A,,,,,,,345077,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Indigovision System G40 Allied Health (9 Rooms),15/10/2020,41895,Videopro Pty Ltd,"37 Eagleview Place,  Eagle Farm, Qld, 4009",No,No ,N/A,,,,,,,345078,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Furniture,15/10/2020,78012,Zekia Pty Ltd T/A Offiscape,"Po Box 990,  Fortitude Valley, Qld, 4006",No,No ,N/A,,,,,,,345061,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",N34 Concrete Slab Repairs ,16/10/2020,70753,Dapcor Qld Pty Ltd,"Level 3, 164 Grey Street,  South Brisbane, Qld, 4101",No,No ,N/A,,,,,,,345134,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Azure August 2020 Subscripion,16/10/2020,24431,Data #3 Limited,"Po Box 551,  Indooroopilly, Qld, 4068",No,No ,N/A,,,,,,,345122,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Data Migration Services,16/10/2020,194040,Emc Global Holdings Company,"207 Pacific Highway,  St Leonards, Nsw, 2065",No,No ,N/A,,,,,,,345138,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Nikon Ts2 Inverted With Phase And Fluorescence,16/10/2020,29150,Scope Scientific,"Po Box 2131,  Kelvin Grove, Qld, 4059",No,No ,N/A,,,,,,,345139,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",N34-N74 Compressor Upgrade,16/10/2020,147715,Snowdonia Airconditioning Pty Ltd,"Po Box 1116,  North Lakes, Qld, 4509",No,No ,N/A,,,,,,,345133,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",L08 Door Installation And Associated Works,16/10/2020,10790,Steadfast Projects Pty Ltd,"16 Ferndale Place,  Upper Kedron, Qld, 4055",No,No ,N/A,,,,,,,345163,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Town Planning Services,16/10/2020,93500,Urbis Pty Ltd,"Level 32, 300 George Street,  Brisbane, Qld, 4000",No,No ,N/A,,,,,,,345140,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Software Licences & Support,16/10/2020,5423553,Wallis Nominees (Computing) Pty. Ltd.,"Level 4, 500 Collins Street,  Melbourne, Vic, 3000",Yes,No ,Open Offer,,,,,,,4687,Information and Communication Technology,C01786,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Drawbridge Hoist Installation,17/10/2020,13399,SSE Specialised Stage Engineering P/L,"17 Chetwynd Street, Loganholme, Qld 4129",No,No ,N/A,,,,,,,1873784,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Pharmibridge Rct Professional Services,19/10/2020,23100,Guildlink Pty Limited,"Gpo Box 3338,  Sydney, Nsw, 2001",No,No ,N/A,,,,,,,345180,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Fencing & Gating,19/10/2020,63954,Hills Fencing Pty Ltd,"8 Rowland Street,  Slacks Creek, Qld, 4127",No,No ,N/A,,,,,,,345217,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Music Equipment,19/10/2020,12295,Orchestral Supplies Australia Pty Limite,"Po Box 622,  Berwick, Vic, 3806",No,No ,N/A,,,,,,,345207,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",S01 Lift 3 Upgrade ,19/10/2020,83853,Otis Elevator Co Pty Ltd,"Po Box 1036,  Brisbane, Qld, 4001",No,No ,N/A,,,,,,,345200,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Planning And Design Gumurrii Gc,20/10/2020,12197,Borhan Ghofrani,"U 2, 27 Florence Street,  Teneriffe, Qld, 4005",No,No ,N/A,,,,,,,345255,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Spss Site 2020-2021 Subscription,20/10/2020,466779,Hearne Scientific Software,"Suite 3/200 Toorak Road,  South Yarra, Vic, 3141",No,No ,N/A,,,,,,,345243 358670 370609,Information and Communication Technology,C01811,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Medrio 2020-2021 Subscription,20/10/2020,100092,"Medrio, Inc.","Suite 325, 345 California Street San Francisco, Ca, 94104",Yes,No ,N/A,,,,,,,345232 357726 370205,Information and Communication Technology,C01802,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Mobile Campus Bundle 2020-2021 Renewal,20/10/2020,42509,Modo Labs Inc,"100 Cambridgepark Drive, Suite 200 Cambridge, Ma, 02140",No,No ,N/A,,,,,,,345233,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Relocation Of Staff,20/10/2020,13475,Sirva Relocation,"490 Freeman Road,  Richlands, Qld, 4077",No,No ,N/A,,,,,,,345244,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Read & Write 2020-2021 Subscription,20/10/2020,16500,Texthelp Pty Ltd,"Suite 4.05, 433 Logan Road Stones Corner, Qld, 4120",No,No ,N/A,,,,,,,345234,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111","N79 New Academic Building, Anchor Point Testing ",21/10/2020,11809,Advanced Materials Testing Services Pty,"3/627 Boundary Rd,  Archerfield, Qld, 4108",No,No ,N/A,,,,,,,345311,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111","Learn, Analytics And Collaborate 2020-2021 Subscription",21/10/2020,1166911,Blackboard International Bv,"Paleisstraat 1-5,  Amsterdam, , 1012",,No ,Limited Offer,,,,,,,345306,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy,21/10/2020,49500,Brandwood Ckc Pty Ltd,"Level 8, 1 Chandos Street St Leonards, Nsw, 2065",No,No ,N/A,,,,,,,345308,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Teammate 2020-2021 Subscription/Maintenance,21/10/2020,22158,Cch Australia Ltd,"Gpo Box 4069,  Sydney, Nsw, 2001",No,No ,N/A,,,,,,,345303,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",S01 Lift 1 Replacement,21/10/2020,425043,Otis Elevator Co Pty Ltd,"Po Box 1036,  Brisbane, Qld, 4001",No,No ,N/A,,,,,,,345291,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Relocation Of Staff,21/10/2020,13750,Sirva Relocation,"490 Freeman Road,  Richlands, Qld, 4077",No,No ,N/A,,,,,,,345298,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Software Licence,22/10/2020,52108,Atmire Nv,Belgium,Yes,No ,N/A,,,,,,,C00891,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111","Iplex Gold, Massarray",22/10/2020,13686,Australian Genome Research Facility Ltd,"Level 5 Gehrmann Laboratories, Research Road St Lucia, Qld, 4072",No,No ,N/A,,,,,,,345377,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Integral Technology Solutions,22/10/2020,58575,Integral Technology Solutions Pty Ltd,"Level 2, 201 Leichardt Street,  Spring Hill, Qld, 4000",No,No ,N/A,,,,,,,345350,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Controller Upgrade,22/10/2020,20328,Securcom Pty Ltd,"Unit 79, 193 South Pine Road Brendale, Qld, 4500",No,No ,N/A,,,,,,,345359,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",G00 Audio Video To G14 Outdoor Amphitheatre,22/10/2020,96065,Videopro Pty Ltd,"37 Eagleview Place,  Eagle Farm, Qld, 4009",No,No ,N/A,,,,,,,345372,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Sharegate For Nintex 2020-2021 Subscription,23/10/2020,13629,Data #3 Limited,"Po Box 551,  Indooroopilly, Qld, 4068",No,No ,N/A,,,,,,,345404,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription Jan-Dec 2021,23/10/2020,10987,Ebsco International Inc,"Subscription Services, Attn John Siweknorth Sydney, Nsw 2060",No,No ,N/A,,,,,,,1875306,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Bomgar Cloud 2020-2021 Subscription,23/10/2020,75012,Identity Solutions Australia Pty Ltd,"Suite 1409, 401 Docklands Drive,  Docklands, Vic, 3008",No,No ,N/A,,,,,,,345403,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription Jan-Dec 2021,25/10/2020,30800,Cengage Learning Australia Pty Ltd,"Level 7, 80 Dorcas Streetsouth Melbourne, Vic 3205",No,No ,N/A,,,,,,,1872434,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Patent Application,25/10/2020,22676,Eagar & Associates Pty Ltd,"Po Box 1499, Oxenford, Qld 4210",No,No ,N/A,,,,,,,1873919,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Scientific Services ,25/10/2020,11442,Gold Coast City Council,"Po Box 5042, Gold Coast Mail Centre, Qld 9729",No,No ,N/A,,,,,,,1872095,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Surface Storm Drains ,26/10/2020,10560,Descab Pty Ltd T/A Qld Multi Trades,"34 Hindes Street,  Lota, Qld, 4178",No,No ,N/A,,,,,,,345465,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Log Fire Hydrant And Hose Additions,27/10/2020,10758,Chilton Woodward & Associates,"Po Box 90,  Albion Bc, Qld, 4010",No,No ,N/A,,,,,,,345504,building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",New Suction Line To Irrigation Plant,27/10/2020,15268,Descab Pty Ltd T/A Qld Multi Trades,"34 Hindes Street,  Lota, Qld, 4178",No,No ,N/A,,,,,,,345486,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Wn54 Shade Sail Restoration,27/10/2020,12089,Descab Pty Ltd T/A Qld Multi Trades,"34 Hindes Street,  Lota, Qld, 4178",No,No ,N/A,,,,,,,345487,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Electrical Supplies ,27/10/2020,21951,Haymans Electrical Pty Ltd,"593 Boundary Street,  Archerfield, Qld, 4108",No,No ,N/A,,,,,,,345507,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Scanx Duo  ,27/10/2020,10890,Henry Schein Regional Trust,"Po Box 3593,  South Brisbane, Qld, 4101",No,No ,N/A,,,,,,,345493,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription Jan-Dec 2021,27/10/2020,11639,Igroup (Australasia) Pty Ltd,"Po Box 522, Glen Waverley, Vic 3150",No,No ,N/A,,,,,,,1875694,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription Jan-Dec 2021,27/10/2020,10529,Myjove Australia Inc,"One Alewife Center, Suite #200, Cambridge, Ma 02140",No,No ,N/A,,,,,,,1875747,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Chiller Wells,27/10/2020,11900,Precise Air Group P/L,"Po Box 1859,  Springwood, Qld, 4128",No,No ,N/A,,,,,,,345511,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",2019 Grow Bonus ,27/10/2020,22420,Sonya International Education Centre P/L,"Level 5, 155 Queen Streetmelbourne, Vic 3000",No,No ,N/A,,,,,,,1876038,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription Nov 2020 - Oct 2021,27/10/2020,13042,Therapeutic Research Centre,"3120 W March Lane, Stockton, Ca 95219",No,No ,N/A,,,,,,,1875855,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111", Aug Test Provision,28/10/2020,19942,Acer - Aust Council For Edu Research Ltd,"Private Bag 55, Camberwell, Vic 3124",No,No ,N/A,,,,,,,1874136,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Laboratory Consumables,28/10/2020,18579,Capella Science Pty Limited,"Po Box 554,  Jannali, Nsw, 2226",No,No ,N/A,,,,,,,345536,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Repair Edwards Turbo ,28/10/2020,12000,Edwards Vacuum Australia,"9/53-57 Link Dr,  Yatala, Qld, 4207",No,No ,N/A,,,,,,,345544,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Computing Maintenance & Support,28/10/2020,62987,Enghouse Australia Pty Ltd,"Level 6, 606 St Kilda Road Melbourne, Vic, 3004",No,No ,N/A,,,,,,,345531,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Computing Maintenance & Support,28/10/2020,11850,Greenhills Media Pty Ltd,"Po Box 81,  Briar Hill, Vic, 3088",No,No ,N/A,,,,,,,345527,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Books Subscription Jan-Dec 2020,28/10/2020,38275,Net Read Pty Ltd,"Po Box 1221, Indooroopilly, Qld 4068",No,No ,N/A,,,,,,,1872384,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Mobile For September 2020,28/10/2020,57845,Optus Communications,"Gpo Box 3972, Sydney, Nsw 1119",No,No ,N/A,,,,,,,1876266,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Development On-Line Assessment,28/10/2020,55000,Redenlab Pty. Ltd.,"669/585 Little Collins Street, Melbourne, Vic 3000",No,No ,N/A,,,,,,,1873585 354313 1972820,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Shock Wave Aeration ,28/10/2020,10186,Sports Turf Operations Pty Ltd,"2125 Beaudesert-Beenleigh Road,  Tamborine, Qld, 4270",No,No ,N/A,,,,,,,345541,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",G42 External Building Clean,29/10/2020,20004,Above & Beyond Rope Access Pty Ltd,"1/48 Bundall Rd,  Bundall, Qld, 4217",No,No ,N/A,,,,,,,345573,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Computing Maintenance & Support,29/10/2020,13035,Greenhills Media Pty Ltd,"Po Box 81,  Briar Hill, Vic, 3088",No,No ,N/A,,,,,,,345574,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Carpet Stock,29/10/2020,21560,Milliken Australia Pty Ltd,"P O Box 555,  Wentworthville, Nsw, 2145",No,No ,N/A,,,,,,,345603,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Software Licence Fees,29/10/2020,38763,Motio Play Pty Ltd,"Suite 6, Manly, NSW  2095",Yes,No,n/a,,,,,,,350880 361643 376326,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Csm Co-Term 2020-2021 Subscription,29/10/2020,50705,Service Quality Pty Ltd,"Unit 2, Building 5, 205-215 Lietchs Road,  Brendale, Qld, 4500",No,No ,N/A,,,,,,,345618,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Openlab Cds Chemstation Ed,30/10/2020,72720,Agilent Technologies Australia Pty Ltd,"679 Springvale Road,  Mulgrave, Vic, 3170",No,No ,N/A,,,,,,,345627,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription Jan-Dec 2021,30/10/2020,27724,American Society Of Civil Engineers,"Asce Subscription Orders, Po Box 79162Baltimore, Md 21279-0162",No,No ,N/A,,,,,,,1876159,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription Jan-Dec 2021,30/10/2020,17986,Ebsco International Inc,"Subscription Services, Attn John Siweknorth Sydney, Nsw 2060",No,No ,N/A,,,,,,,1874054,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription Jan-Dec 2021,30/10/2020,35030,Ebsco International Inc,"Subscription Services, Attn John Siweknorth Sydney, Nsw 2060",No,No ,N/A,,,,,,,1875849,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",2021 Markering Plan Support,30/10/2020,13173,Edu Danmark Aps,"Nikolaj Plads 26, 2Nd Floor, Copenhagen,  Dk1067",No,No ,N/A,,,,,,,1876166,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",108 Sep Ielts Tests,30/10/2020,22869,IELTS Australia Pty Ltd,"Gpo Box 2006, Canberra, Act 2601",No,No ,N/A,,,,,,,1875357,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription Jan-Dec 2021,30/10/2020,20887,Igroup (Australasia) Pty Ltd,"Po Box 522, Glen Waverley, Vic 3150",No,No ,N/A,,,,,,,1876156,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription Jan-Dec 2021,30/10/2020,26084,Ovid Technologies Inc.,"100 River Ridge Drive, Norwood, Ma 02062",No,No ,N/A,,,,,,,1876160,General Goods and Services,,,,
