Description,Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commence date,Supplier ABN,Finish date
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Charter research boat hire,25/11/2019,48120,Eclipse Fnq Charters,"PO Box 9, Port Douglas, QLD  4877",No,No,,,,,,,,332564,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Motor Vehicle Asset,25/11/2019,33333,Grand Motors,"PO Box 7834, Gold Coast, QLD  9726",No,No,,,,,,,,332615,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Software Licence Fees,25/11/2019,380943,Pan Software Pty Ltd,"123 Camberwell Road,  East Hawthorn, Vic, 3123",Yes,No,,,,,,,,C00494,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consulting and Professional Fees,25/11/2019,45858,Siggins Miller Consultants Pty Ltd,"PO Box 1143, Toowong, QLD  4066",No,No,,,,,,,,332547,General Goods and Services,GU4565,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Catering,25/11/2019,18948,The Ship Inn,"Box 25, Stanley Street Plaza, Southbank, QLD  4101",No,No,,,,,,,,1817093,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consulting and Professional Fees,26/11/2019,40150,Bright Consulting,"PO Box 460, Civil Square, ACT  2608",No,No,,,,,,,,332690,General Goods and Services,GU4570,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",July Graduations 2020,26/11/2019,110000,Brisbane Convention & Exhibition Centre,"PO Box 3869, Brisbane South, QLD  4101",No,No,,,,,,,,332701,General Goods and Services,GU4569,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Software Licence Fees,26/11/2019,145350,Convergepoint Inc,"1810 Snake River Road,  Katy, Tx, 77449",Yes,No,,,,,,,,C01522,Information & Communcation Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Network Hardware Equipment,26/11/2019,22167,Data #3 Limited,"PO Box 551, Indooroopilly, QLD  4068",No,No,,,,,,,,332740,Information and Communication Technology,GU802,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",2020 Reviews - Dinner Event,26/11/2019,22000,Felicity Hotel Pty Ltd,"99 Mary Street, Brisbane City, QLD  4000",No,No,,,,,,,,332745,General Goods and Services,GU4573,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Advertising and Promotions,26/11/2019,19250,IDP Education Pty Ltd,"535 Bourke Street, Melbourne, VIC  3000",No,No,,,,,,,,1824248,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",AV Equipment,26/11/2019,13677,ProAV Solutions Queensland,PO Box 2722,No,No,,,,,,,,332741,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",N78 Battery Charger,26/11/2019,14883,Prohelion Pty Ltd,"PO Box 220, Spring Hill, QLD  4004",No,No,,,,,,,,332758,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Scientific Equipment,26/11/2019,48808,Scinomix Inc,"4372 Green Ash Drive, Earth City, MO  63045  USA",No,No,,,,,,,,332738,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",S02 Chiller Piping Vibration Troubleshoot,26/11/2019,14628,SVT Holdings Pty Ltd,"240 St. Georges Terrace, Perth, WA  6000",No,No,,,,,,,,332685,Building Construction and Maintenance,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",ACS_sub_Jan-Dec2020_USD0002176,27/11/2019,69775,Council of Aust. University Librarians,"PO Box 8169, Australian National University, Canberra, ACT  0200",No,No,,,,,,,,1822665,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",AAAS-Science_sub_Jan-Dec2020_U,27/11/2019,19530,Council of Aust. University Librarians,"PO Box 8169, Australian National University, Canberra, ACT  0200",No,No,,,,,,,,1824025,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",APS_sub_Jan-Dec2020_USD0002195,27/11/2019,27600,Council of Aust. University Librarians,"PO Box 8169, Australian National University, Canberra, ACT  0200",No,No,,,,,,,,1824027,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",AmPhysiolSociety_sub_Jan-Dec20,27/11/2019,15350,Council of Aust. University Librarians,"PO Box 8169, Australian National University, Canberra, ACT  0200",No,No,,,,,,,,1824031,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Artstor_sub_Jan-Dec2020_USD000,27/11/2019,12420,Council of Aust. University Librarians,"PO Box 8169, Australian National University, Canberra, ACT  0200",No,No,,,,,,,,1824032,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",JSTOR_sub_Jan-Dec2020_USD00022,27/11/2019,51206,Council of Aust. University Librarians,"PO Box 8169, Australian National University, Canberra, ACT  0200",No,No,,,,,,,,1824243,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",IOP_sub_Jan-Dec2020_GBP0000397,27/11/2019,38075,Council of Aust. University Librarians,"PO Box 8169, Australian National University, Canberra, ACT  0200",No,No,,,,,,,,1824244,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Cambridge_sub_Jan-Dec2020_GBP0,27/11/2019,27508,Council of Aust. University Librarians,"PO Box 8169, Australian National University, Canberra, ACT  0200",No,No,,,,,,,,1824315,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",JAMA_sub_Jan-Dec2020_USD000222,27/11/2019,24750,Council of Aust. University Librarians,"PO Box 8169, Australian National University, Canberra, ACT  0200",No,No,,,,,,,,1824318,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",HeinOnline_sub_Jan-Dec2020_USD,27/11/2019,20220,Council of Aust. University Librarians,"PO Box 8169, Australian National University, Canberra, ACT  0200",No,No,,,,,,,,1824319,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Liebert_sub_Jan-Dec2020_USD000,27/11/2019,42464,Council of Aust. University Librarians,"PO Box 8169, Australian National University, Canberra, ACT  0200",No,No,,,,,,,,1824320,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",NEJM_sub_Jan-Dec2020_USD000220,27/11/2019,18257,Council of Aust. University Librarians,"PO Box 8169, Australian National University, Canberra, ACT  0200",No,No,,,,,,,,1824321,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",PsychiatryOnline_sub_Jan-Dec20,27/11/2019,10980,Council of Aust. University Librarians,"PO Box 8169, Australian National University, Canberra, ACT  0200",No,No,,,,,,,,1824415,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Computer Servers,27/11/2019,126080,Dell Australia Pty Ltd,"Frenchs Forest, NSW  2086",No,No,,,,,,,,332864,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",N06 Roof Repairs and Maintenance,27/11/2019,10747,Descab Pty Ltd t/a Qld Multi Trades,"34 Hindes Street, Lota, QLD  4178",No,No,,,,,,,,332843,Building Construction and Maintenance,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",SAGEResearchMethodsVideo_coll_,27/11/2019,61305,iGroup ( Asia Pacific) Ltd,"9 Wing Hong Street, Cheung Sha Wan, Kowloon  Hong Kong",No,No,,,,,,,,1824245,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Publication Costs,27/11/2019,10320,Informa UK Ltd,"Sheepen Place, Colchester  CO3 3LP  Great Britain",No,No,,,,,,,,1824021,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Staff Recruitment,27/11/2019,22245,Insight Management Consultants P/L,"230 Collins Street, Melbourne, VIC  3000",No,No,,,,,,,,1824668,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Design and Printing,27/11/2019,26868,JSA Design,"PO Box 1580, Fortitude Valley, QLD  4006",No,No,,,,,,,,332806,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",BrillHumRightsIntLaw_coll_1016,27/11/2019,15793,Koninklijke Brill Leiden NV,"Plantijnstraat 2, 2321 JC  Leiden  Netherlands",No,No,,,,,,,,1823120,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",BrillEdResMiddleEast_coll_1016,27/11/2019,32697,Koninklijke Brill Leiden NV,"Plantijnstraat 2, 2321 JC  Leiden  Netherlands",No,No,,,,,,,,1823121,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Ovid_sub_Jan-Dec2020_OA-59733_,27/11/2019,211186,Ovid Technologies Inc.,"100 River Ridge Drive, Norwood, MA  02062  USA",No,No,,,,,,,,1824250,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Ovid2_sub_Jan-Dec2020_59825_TW,27/11/2019,217600,Ovid Technologies Inc.,"100 River Ridge Drive, Norwood, MA  02062  USA",No,No,,,,,,,,1824251,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Staff Relocation,27/11/2019,18700,Sirva Relocation,"490 Freeman Road, Richlands, QLD  4077",No,No,,,,,,,,332799,General Goods and Services,GU2661,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",V00 Electrical Metering Southern campuses,27/11/2019,10578,Sure Power,"4 Manilla Street, East Brisbane, QLD  4169",No,No,,,,,,,,332877,Building Construction and Maintenance,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",CCH_sub_Jan-Dec2020_6600008912,28/11/2019,82163,CCH Australia Ltd,"GPO Box 4069, Sydney, NSW  2001",No,No,,,,,,,,1825188,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Computers,28/11/2019,23206,Dell Australia Pty Ltd,"Frenchs Forest, NSW  2086",No,No,,,,,,,,332941,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Advertsiing and support ,28/11/2019,22880,Digital Silver Pty Ltd,"PO Box 1068, Ivanhoe, VIC  3079",No,No,,,,,,,,1825448,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Software Licence Fees,28/11/2019,155466,Starrez Pty Ltd,"660 Spencer Street, West Melbourne, VIC  3003",Yes,No,,,,,,,,C00467,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Staff Recruitment,28/11/2019,22182,UniRecruit,"3422 Surfers Paradise Boulevarde, Surfers Paradise, QLD  4217",No,No,,,,,,,,1821989,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Software,29/11/2019,33935,Adobe Systems Software Ireland Ltd,"4-6 Riverwalk, City West Business Campus, Saggart, Dublin  D24DCW0  Ireland",No,No,,,,,,,,1825836,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Relocation of lab equipment,29/11/2019,12500,All Purpose Removals,"PO Box 2, Archerfield, QLD  4108",No,No,,,,,,,,332971,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",AIP_sub_Jan-Dec2020_USD0002234,29/11/2019,38853,Council of Aust. University Librarians,"PO Box 8169, Australian National University, Canberra, ACT  0200",No,No,,,,,,,,1825072,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",CAUL_CASScifinder_Jan-Dec2020_,29/11/2019,132020,Council of Aust. University Librarians,"PO Box 8169, Australian National University, Canberra, ACT  0200",No,No,,,,,,,,1825189,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Emerald_Jan-Dec2020_GBP0000407,29/11/2019,120156,Council of Aust. University Librarians,"PO Box 8169, Australian National University, Canberra, ACT  0200",No,No,,,,,,,,1825190,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",CAUL_WebofScience_Jan-Dec2020_,29/11/2019,206457,Council of Aust. University Librarians,"PO Box 8169, Australian National University, Canberra, ACT  0200",No,No,,,,,,,,1825191,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",McGrawHill_sub_Jan-Dec2020_USD,29/11/2019,34990,Council of Aust. University Librarians,"PO Box 8169, Australian National University, Canberra, ACT  0200",No,No,,,,,,,,1825195,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Computers,29/11/2019,46200,Dell Australia Pty Ltd,"Frenchs Forest, NSW  2086",No,No,,,,,,,,333093,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Auditing Services,29/11/2019,41322,Deloitte Risk Advisory Pty Limited,"123 Eagle Street, Brisbane City, QLD  4000",No,No,,,,,,,,333107,General Goods and Services,GU4578,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Computing Equipment,29/11/2019,14292,Hewlett Packard Aust Ltd,"P O Box 221, Blackburn, VIC  3130",No,No,,,,,,,,333006,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Materials testing system,29/11/2019,443300,Instron a division of ITW Australia Pty,"15/15 Stud Road, Bayswater, VIC  3153",No,No,,,,,,,,332962,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Advertising and Promotions,29/11/2019,49500,Mediacom Australia Pty Ltd,"GPO Box 1000, Brisbane, QLD  4001",No,No,,,,,,,,332992,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Proquest_Jan-Dec2020_70604142_,29/11/2019,435066,ProQuest LLC,"6216 Paysphere Circle, Chicago, IL  60674  USA",No,No,Limited,,,,,,,1825193,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Chemicals,29/11/2019,18760,Qiagen Pty Ltd,"PO Box 169, Chadstone, VIC  3148",No,No,,,,,,,,333031,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Optical components,29/11/2019,29875,Thorlabs Inc,"56 Sparta Avenue, Newton, NJ  07860  USA",No,No,,,,,,,,332944,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Capture ME N/A ANNUAL 2020 SUBSCRIPTION,29/11/2019,34239,Unicard Systems Pty Ltd,"35/6 Herbert Street, St Leonards, NSW  2065",No,No,,,,,,,,332974,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consulting and Professional Fees,29/11/2019,76923,Vivo Group Pty Ltd,"PO Box 695, Paddington, QLD  4064",No,No,,,,,,,,332964,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription/Licence Fees Software,30/11/2019,378946,Data #3 Limited,"PO Box 551, Indooroopilly, QLD  4068",No,No,,,,,,,,C01554,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",IELTS tests,30/11/2019,73260,IELTS Australia Pty Ltd,"GPO Box 2006, Canberra, ACT  2601",No,No,,,,,,,,1818711,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Workplace Investigation,30/11/2019,16177,Q Workplace Solutions Pty Ltd,"79 Broadway Street, Woolloongabba, QLD  4102",No,No,,,,,,,,1824293,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Cisco c9500-48 switching,2/12/2019,134211,Data #3 Limited,"Po Box 551, Indooroopilly, QLD  4068",No,No,,,,,,,,333180,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Advertising and Promotions,2/12/2019,59400,Invision Media Pty Ltd,"241 Given Tce, Paddington, QLD  4064",No,No,,,,,,,,333256,General Goods and Services,GU4580,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Advertising and Promotions,2/12/2019,66000,Mediacom Australia Pty Ltd,"GPO Box 1000, Brisbane, QLD  4001",No,No,,,,,,,,333158,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",N06 & N22 Emergency lighting upgrade,2/12/2019,34296,Precise Air Group P/L,"PO Box 1859, Springwood, QLD  4128",No,No,,,,,,,,333275,Building Construction and Maintenance,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Scientific Equipment,2/12/2019,46806,Unisense A/S,"Tueager 1, Aarhus N  8200  Denmark",No,No,,,,,,,,333173,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription/Licence Fees,3/12/2019,414768,Australian Access Federation Ltd,"Level 21, 179 Turbot Street Brisbane, Qld, 4000",No,No,,,,,,,,C00876,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Computer Equipment,3/12/2019,14473,Dell Australia Pty Ltd,"PO Box 91, Frenchs Forest, NSW  2086",No,No,,,,,,,,333340,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription Fees,3/12/2019,98724,iGroup (Australasia) Pty Ltd,"PO Box 522, Glen Waverley, VIC  3150",Yes,No,,,,,,,,C01532,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Software Subscription,3/12/2019,203857,OwnCloud GmbH,"SchloBackerstrasse 26a, Nurnberg  90443  Germany",Yes,No,,,,,,,,C00329,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Reference Materials,4/12/2019,846078,Bloomsbury Publishing Plc.,"50 Bedford Square, London  WC1B 3DP  Great Britain",Yes,No,Limited,,,,,,,GU-78,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",N53 Furniture,4/12/2019,15585,Commercial Images,"PO Box 3731, South Brisbane, QLD  4101",No,No,,,,,,,,333414,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",EnsQ Operational Expenses,4/12/2019,16600,Ensemble Q,"27 Highview Terrace, St Lucia, QLD  4067",No,No,,,,,,,,1825198,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Generator hire,4/12/2019,32284,Generent Pty Ltd,"PO Box 115, Archerfield, QLD  4108",No,No,,,,,,,,333451,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Software Subscription,4/12/2019,60060,Global Reviews (Asia Pacific) Pty Ltd,"Level 8, 432 St Kilda Road, Melbourne, VIC  3004",No,No,,,,,,,,333400,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Scientific Equipment,4/12/2019,37246,John Morris Scientific Pty Ltd,"PO Box 447, Willoughby, NSW  2068",No,No,,,,,,,,333474,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Electrical rectification works,4/12/2019,25945,KME Services Pty Ltd,"PO Box 577, Ormeau, QLD  4208",No,No,,,,,,,,333390,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Furniture,4/12/2019,15476,Natural Ideas In Chairs Pty Ltd,"PO Box 287, Banyo, QLD  4014",No,No,,,,,,,,333375,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy,4/12/2019,27500,Nous Group Pty Ltd,"PO Box 13069, Melbourne Law Courts, VIC  8010",No,No,,,,,,,,1820310,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",PromoChrom SPE-03 Workstation,4/12/2019,42939,PM Separations,"PO Box 498, Capalaba, QLD  4157",No,No,,,,,,,,333472,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",N44 emergency lighting upgrade,4/12/2019,52940,Precise Air Group P/L,"PO Box 1859, Springwood, QLD  4128",No,No,,,,,,,,333465,Building Construction and Maintenance,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Hand Held 2 Way Radios,4/12/2019,17613,Progility Pty Ltd,"Locked Bag 5800, Pinewood, VIC  3149",No,No,,,,,,,,333489,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,4/12/2019,96884,Promise Proteomics SAS,"7 parvis Louis Neel, Grenoble  38040  France",No,No,,,,,,,,333392,General Goods and Services,GU4587,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Advertising and Promotions,4/12/2019,10137,Ride Free Media Pty Ltd,"Rooftop, Factory 1, 51 Mollison Street, West End, QLD  4101",No,No,,,,,,,,333498,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Scientific Equipment,4/12/2019,189734,Scitek Australia Pty Ltd,"PO Box 355, Milsons Point, NSW  1565",No,No,,,,,,,,333382,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Laboratory Consumables,5/12/2019,14630,Bio-Strategy Pty Limited,"PO Box 14, Campbellfield, VIC  3061",No,No,,,,,,,,333544,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Laboratory Consumables,5/12/2019,69102,Bio-Strategy Pty Limited,"PO Box 14, Campbellfield, VIC  3061",No,No,,,,,,,,333542,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Scientific Equipment,5/12/2019,28105,In Vitro Technologies Pty Ltd,"7-9 Summit Road, Noble Park, VIC  3174",No,No,,,,,,,,333615,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Health Equipment,5/12/2019,292600,Life Health Care Distribution Pty Ltd,"15 Talavera Road, Level 8, North Ryde, NSW  2113",No,No,,,,,,,,333637,Medical,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",AV Equipment,5/12/2019,28377,ProAV Solutions Queensland,"PO Box 2722, Toowong, QLD  4066",No,No,,,,,,,,333568,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",2020 Grand Ball,5/12/2019,40590,RACV Royal Pines Resort,"PMB 88, GCMC, QLD  9726",No,No,,,,,,,,333632,General Goods and Services,GU4593,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",S8: EcoStructure software and hardware,5/12/2019,65974,Schneider Electric Buildings Australia,"Level 3, 2A Lord Street, BOTANY, NSW  2019",No,No,,,,,,,,333516,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",G35 Pedestrian Bridge - Balustrading Risk Assessment,5/12/2019,15010,SMEC Australia Pty Ltd,"832 Southport-Nerang Rd, Nerang, QLD  4211",No,No,,,,,,,,333621,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",STARS workshops 2020,5/12/2019,20790,Suicide Risk Assessment Australia,"PO Box 178, Engadine, NSW  2233",No,No,,,,,,,,333521,General Goods and Services,GU4591,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Scientific Equipment,5/12/2019,77000,Tecan Australia Pty Ltd,"21/3 Westside Avenue, Port Melbourne, VIC  3207",No,No,,,,,,,,333539,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",USB3 Scientific CMOS Camera,6/12/2019,21175,Coherent Scientific Pty Ltd,"116 Sir Donald Bradman Drive, Hilton, SA  5033",No,No,,,,,,,,333662,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,6/12/2019,50600,Consultancy Bureau Pty Ltd,"Unit 4, 50 Northlink Place, Virginia, QLD  4014",No,No,,,,,,,,333696,General Goods and Services,GU4597,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Software Subscription,6/12/2019,52056,Council of Aust. University Librarians,"PO Box 8169, Australian National University, Canberra, ACT  0200",No,No,,,,,,,,1825442,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Software Subscription,6/12/2019,67202,EBSCO International Inc,"Level 8, 132 Arthur Street, North Sydney, NSW  2060",No,No,,,,,,,,1826273,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Software Subscription,6/12/2019,149681,EBSCO International Inc,"Level 8, 132 Arthur Street, North Sydney, NSW  2060",No,No,,,,,,,,1826274,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Fellowship Consultancy,6/12/2019,10000,Gaala Watson trading as Bimbi Love,"PO Box 2021, Salisbury East, QLD  4107",No,No,,,,,,,,333748,General Goods and Services,GU4596,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Staff Recruitment,6/12/2019,13416,Optimum Recruitment Group (Qld) Pty Ltd,"Level 17, 40 Creek Street, Brisbane, QLD  4000",No,No,,,,,,,,1828179,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",G02 Construction advisory & management services,6/12/2019,710523,Premis Solutions Pty Ltd,"PO Box 114, Toowong, QLD  4066",No,No,Limited,,,,,,,333657,Building Construction and Maintenance,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Software Subscription,6/12/2019,292421,ProQuest LLC,"6216 Paysphere Circle, Chicago, IL  60674  USA",No,No,,,,,,,,1827154,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Software 2019-2020 Subscription,6/12/2019,27552,Refinitiv Australia Pty Ltd,"60 Margaret Street, Sydney, NSW  2000",No,No,,,,,,,,333671,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Software Subscription,6/12/2019,405885,Royal Society of Chemistry,"Thomas Graham House, Science Park, Milton Road, Cambridge  CB4 0WF  Great Britain",Yes,No,,,,,,,,GU101 GU-867 GU-1386,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Software Subscription,6/12/2019,100959,"SAGE Publications, Ltd.","Unit 18 Titan Drive, Fengate East, Peterborough  PE1 5XN  Great Britain",No,No,,,,,,,,1827330,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Software Subscription,6/12/2019,185931,"SAGE Publications, Ltd.","Unit 18 Titan Drive, Fengate East, Peterborough  PE1 5XN  Great Britain",No,No,,,,,,,,1827331,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Software Subscription,6/12/2019,29378,"SAGE Publications, Ltd.","Unit 18 Titan Drive, Fengate East, Peterborough  PE1 5XN  Great Britain",No,No,,,,,,,,1827422,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Software Subscription,6/12/2019,326109,Springer Customer Service Centre GmbH,"Haberstrasse 7, Heidelberg  D69126  Germany",No,No,,,,,,,,1827152,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Software Subscription,6/12/2019,365865,Springer Customer Service Centre GmbH,"Haberstrasse 7, Heidelberg  D69126  Germany",No,No,,,,,,,,1827153,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Software,6/12/2019,12937,TWH Australia Pty Ltd,"60 Castlereagh Street, Sydney, NSW  2000",No,No,,,,,,,,333647,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Kanopy PDA Package,8/12/2019,30000,Kanopy LLC,"781 Beach St Suite 410, San Francisco, CA  94109  USA",No,No,,,,,,,,1821095,Information and Communication Technology,,,,
