Description,Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Reason for use of limited tendering,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Variation comments,Commence date,Supplier ABN,Finish date
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Pathology Expenditure,24/11/2021,13580,Australian Genome Research Facility Ltd,"Level 5 Gehrmann Laboratories, Research Road St Lucia, Qld, 4072",No,No,,,,,,,,,360028,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Scientific Equipment,24/11/2021,10827,Biotools Pty Ltd,"Po Box 2454,  Keperra, Qld, 4052",No,No,,,,,,,,,360066,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Computer Equipment,24/11/2021,11460,Jb Hi Fi Group Pty Ltd,"544 Kessells Road,  Macgregor, Qld, 4109",No,No,,,,,,,,,360026,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription fees,24/11/2021,36850,Linkedin Singapore Pte Ltd,"10 Marina Boulevard, Marina Bay Financial Centre Tower 2, 018983",No,No,,,,,,,,,1935726,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Event Expenditure,24/11/2021,22328,Mta Travel,"Po Box 4328,  Robina, Qld, 4230",No,No,,,,,,,,,1935644,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Audio Visual Equipment,24/11/2021,10684,Proav Solutions Queensland,"Po Box 2722,  Toowong, Qld, 4066",No,No,,,,,,,,,360049,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Membership Fees,24/11/2021,16500,Social Traders Ltd,"Level 1, 333 Exhibition Street Melbourne, Vic, 3000",No,No,,,,,,,,,360036,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Telecommunication Equipment,24/11/2021,15558,Telrex,"Po Box 5146,  Daisy Hill, Qld, 4127",No,No,,,,,,,,,360070,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,24/11/2021,35253,The Trustee For Granted Group Unit Trust,"Suite 1.06A, 269 Centre Road Bentleigh, Vic, 3204",No,No,,,,,,,,,360061,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Recruitment/Placement Fees,24/11/2021,129866,Troocoo Pty Ltd,"Level 1, 100 Creek Street Brisbane City, Qld, 4000",No,No,,,,,,,,,360059,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Library Acquisition Reference Materials,25/11/2021,14236,American Society For Microbiology,"1752 N Street Nw,  Washington, Dc, 20036",No,No,,,,,,,,,1935425,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,25/11/2021,55000,Bdo Services Pty Ltd,"Level 10, 12 Creek Street,  Brisbane, Qld, 4000",No,No,,,,,,,,,360105,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Library Acquisition Reference Materials,25/11/2021,39780,Clarivate Analytics (Uk) Limited,"Friars House, 160 Blackfriars Road London, , Se1 8Ez",No,No,,,,,,,,,1934803,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Library Acquisition Reference Materials,25/11/2021,89450,Council Of Aust. University Librarians,"9 Napier Close,  Deakin, Act, 2600",No,No,,,,,,,,,1934802,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Library Acquisition Reference Materials,25/11/2021,16513,Council Of Aust. University Librarians,"9 Napier Close,  Deakin, Act, 2600",No,No,,,,,,,,,1934885,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Library Acquisition Reference Materials,25/11/2021,35538,Council Of Aust. University Librarians,"9 Napier Close,  Deakin, Act, 2600",No,No,,,,,,,,,1934899,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Library Acquisition Reference Materials,25/11/2021,190959,Council Of Aust. University Librarians,"9 Napier Close,  Deakin, Act, 2600",No,No,,,,,,,,,1935114,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Library Acquisition Reference Materials,25/11/2021,28323,Council Of Aust. University Librarians,"9 Napier Close,  Deakin, Act, 2600",No,No,,,,,,,,,1935442,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Library Acquisition Reference Materials,25/11/2021,208507,Ebsco International Inc,"Subscription Services, Attn John Siwek North Sydney, Nsw, 2060",No,No,,,,,,,,,1935445,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Library Acquisition Reference Materials,25/11/2021,93475,Ebsco International Inc,"Subscription Services, Attn John Siwek North Sydney, Nsw, 2060",No,No,,,,,,,,,1935451,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Recruitment/Placement Fees,25/11/2021,14419,Edu Danmark Aps,"Nikolaj Plads 26, 2Nd Floor,  Copenhagen, , Dk1067",No,No,,,,,,,,,1935524,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Library Acquisition Reference Materials,25/11/2021,165244,Elsevier Inc.,"3251 Riverport Lane,  Maryland Heights, Mo, 63043",No,No,,,,,,,,,1935635,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription fees,25/11/2021,25048,Equate Technolgies,"Level 10, 410 Ann Street Brisbane, Qld, 4000",No,No,,,,,,,,,360108,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Event Expenditure,25/11/2021,11626,Griffith Uni Gold Coast Student Guild,"Po Box 96, Gold Coast Campus Griffith University, Qld, 4222",No,No,,,,,,,,,360106,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Library Acquisition Reference Materials,25/11/2021,18893,Igroup (Australasia) Pty Ltd,"Suite 1509, 530 Little Collins Street Melbourne, Vic, 3000",No,No,,,,,,,,,1935113,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Library Acquisition Reference Materials,25/11/2021,21391,Iop Publishing Ltd,"Temple Circus, Temple Way Bristol, , Bs1 6Hg",No,No,,,,,,,,,1935731,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Library Acquisition Reference Materials,25/11/2021,15099,Koninklijke Brill Leiden Nv,", Plantijnstraat 2 Leiden, 2321 Jc",No,No,,,,,,,,,1935734,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription fees,25/11/2021,1004727,Oclc (Uk) Limited,"Brincliffe House, 861 Ecclesall Rd Sheffield, Lancs, S11 7Ae",No,No,Selective,,,,,,,,GU-566,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Library Acquisition Reference Materials,25/11/2021,27496,Ovid Technologies Inc.,"100 River Ridge Drive,  Norwood, Ma, 02062",No,No,,,,,,,,,1935729,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Library Acquisition Reference Materials,25/11/2021,26387,Ovid Technologies Inc.,"100 River Ridge Drive,  Norwood, Ma, 02062",No,No,,,,,,,,,1935733,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Library Acquisition Reference Materials,25/11/2021,18518,Oxford University Press Uk,"The Cashiers Office, Great Clarendon Street Oxford, , Ox2 6Dp",No,No,,,,,,,,,1935397,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Library Acquisition Reference Materials,25/11/2021,43653,Oxford University Press Uk,"The Cashiers Office, Great Clarendon Street Oxford, , Ox2 6Dp",No,No,,,,,,,,,1935398,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Library Acquisition Reference Materials,25/11/2021,43494,Oxford University Press Uk,"The Cashiers Office, Great Clarendon Street Oxford, , Ox2 6Dp",No,No,,,,,,,,,1935448,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Library Acquisition Reference Materials,25/11/2021,37918,Oxford University Press Uk,"The Cashiers Office, Great Clarendon Street Oxford, , Ox2 6Dp",No,No,,,,,,,,,1935449,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Library Acquisition Reference Materials,25/11/2021,47477,Oxford University Press Uk,"The Cashiers Office, Great Clarendon Street Oxford, , Ox2 6Dp",No,No,,,,,,,,,1935450,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Library Acquisition Reference Materials,25/11/2021,47939,Proquest Llc,"6216 Paysphere Circle,  Chicago, Il, 60674",No,No,,,,,,,,,1935732,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,25/11/2021,14300,Qsr International Pty Ltd,"Level 2, 651 Doncaster Road Doncaster, Vic, 3108",No,No,,,,,,,,,360096,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Event Expenditure,25/11/2021,15644,Racv Royal Pines Resort,"Pmb 88,  Gcmc, Qld, 9726",No,No,,,,,,,,,1935633,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Equipment Maintenance,25/11/2021,38940,Rauland Australia Pty Ltd,"514 Miller Street,  Cammeray, Nsw, 2062",No,No,,,,,,,,,360099,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription fees,25/11/2021,39204,Smk Social Media Knowledge,"23 Gray Street,  Mount Martha, Vic, 3934",No,No,,,,,,,,,360133,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Legal Fees,26/11/2021,77000,Hwl Ebsworth Lawyers,"Gpo Box 2033,  Brisbane, Qld, 4001",No,No,,,,,,,,,360203,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Scientific Equipment,26/11/2021,14277,Microsoft Pty Ltd,"1 Epping Road,  North Ryde, Nsw, 2113",No,No,,,,,,,,,360182,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Recruitment/Placement Fees,26/11/2021,55000,Odgers Berndtson,"Level 2, 2 Bulletin Place Sydney, Nsw, 2000",No,No,,,,,,,,,360195,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Scientific Equipment,26/11/2021,16364,Raicol Crystal Ltd,"22 Hamelacha St,  Rosh Haayin, , 480-9162",No,No,,,,,,,,,360184,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Marketing Fees,26/11/2021,115500,Social Garden Pty Ltd,"Suite 4, 651 Victoria Street,  Abbotsford, Vic, 3067",No,No,,,,,,,,,360189,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Event Expenditure,26/11/2021,23730,State Library Of Queensland,"Po Box 3488,  Brisbane South, Qld, 4101",No,No,,,,,,,,,360183,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,26/11/2021,11000,Turner & Townsend Pty Ltd,"Level 13, 140 Creek St,  Brisbane, Qld, 4000",No,No,,,,,,,,,360200,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,26/11/2021,14366,Webb Australia Group (Qld) Pty Ltd,"Po Box 1005,  Toowong, Qld, 4066",No,No,,,,,,,,,360199,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,29/11/2021,27716,A1 Building & Property Solutions Pty Ltd,"3 D'Aguilar Road,  The Gap, Qld, 4061",No,No,,,,,,,,,360274,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Scientific Equipment,29/11/2021,42446,Adinstruments P/L,"Unit 13, 22 Lexington Drive,  Bella Vista, Nsw, 2153",No,No,,,,,,,,,360265,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Legal Fees,29/11/2021,37400,Adventbalance,"Level 2, 222 Clarence Street Sydney, Nsw, 2000",No,No,,,,,,,,,360287,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Legal Fees,29/11/2021,77271,Ashurst Australia,"Gpo Box 9938,  Brisbane, Qld, 4001",No,No,,,,,,,,,360264,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,29/11/2021,110614,Castlepoint Systems,"Po Box 569,  Dickson, Act, 2602",Yes,No,,,,,,,,,360655,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Computer Equipment,29/11/2021,35763,Computer Alliance Pty Ltd,"1517 Logan Road,  Mount Gravatt, Qld, 4122",No,No,,,,,,,,,360224,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Scientific Equipment,29/11/2021,34603,D1 Store Pty Ltd,"421 Victoria Street,  Brunswick, Vic, 3056",No,No,,,,,,,,,360273,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,29/11/2021,26076,Daresay,"Ground Floor, 4 Glen Street Milsons Point, Nsw, 2061",No,No,,,,,,,,,360257,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,29/11/2021,24259,Integral Technology Solutions Pty Ltd,"Level 2, 201 Leichardt Street,  Spring Hill, Qld, 4000",No,No,,,,,,,,,360248,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,29/11/2021,12945,Leah Barclay,Queensland,No,No,,,,,,,,,1936271,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Scientific Equipment,29/11/2021,34487,Newlight Photonics Inc,"40-1110 Finch Avenue West, Suite 1172 Toronto, On, M3J 2T2",No,No,,,,,,,,,360237,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Scientific Equipment,29/11/2021,16407,Newlight Photonics Inc,"40-1110 Finch Avenue West, Suite 1172 Toronto, On, M3J 2T2",No,No,,,,,,,,,360238,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Commission Payment,29/11/2021,1746985,Open Universities Australia,"Level 1/473 Bourke St,  Melbourne, Vic, 3000",No,No,Limited,b - (iii) The absence of competition for technical reasons which can only be supplied by a particular supplier and no reasonable alternative exists,,,,,,,1934886,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Commission Payment,29/11/2021,1762889,Open Universities Australia,"Level 1/473 Bourke St,  Melbourne, Vic, 3000",No,No,Limited,b - (iii) The absence of competition for technical reasons which can only be supplied by a particular supplier and no reasonable alternative exists,,,,,,,1934887,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Scientific Equipment,29/11/2021,23824,Sdr Scientific,"206/354 Eastern Valley Way,  Chatswood, Nsw, 2067",No,No,,,,,,,,,360230,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Scientific Equipment,29/11/2021,11203,Thermo Fisher Scientific Australia,"Po Box 9092,  Scoresby, Vic, 3179",No,No,,,,,,,,,360229,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Membership Fees,29/11/2021,12185,University Of Western Australia,"Nedlands,  Nedlands, Wa, 6907",No,No,,,,,,,,,1936259,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,30/11/2021,12075,A1 Building & Property Solutions Pty Ltd,"3 D'Aguilar Road,  The Gap, Qld, 4061",No,No,,,,,,,,,360348,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Scientific Equipment,30/11/2021,17875,Adinstruments P/L,"Unit 13, 22 Lexington Drive,  Bella Vista, Nsw, 2153",No,No,,,,,,,,,360341,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Pathology Expenditure,30/11/2021,11840,Australian Genome Research Facility Ltd,"Level 5 Gehrmann Laboratories, Research Road St Lucia, Qld, 4072",No,No,,,,,,,,,360314,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Membership Fees,30/11/2021,14162,Ecctis Ltd,"68-70 Suffolk Road,  Cheltenham, Gloucs, Gl50 2Ed",No,No,,,,,,,,,360325,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription fees,30/11/2021,78788,Enghouse Australia Pty Ltd,"Level 6, 606 St Kilda Road Melbourne, Vic, 3004",No,No,,,,,,,,,360302,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,30/11/2021,72914,Lehr Consultants International (Australi,"L10/490 Upper Edward Street,  Spring Hill, Qld, 4000",No,No,,,,,,,,,1936456,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Event Expenditure,30/11/2021,31226,Mediacom Australia Pty Ltd,"Level 17, 65 Berry Street North Sydney, Nsw, 2060",No,No,,,,,,,,,360334,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",External Course Delivery,30/11/2021,18810,Monash University,"Cashier, 21 Chancellors Walk Monash University, Vic, 3800",No,No,,,,,,,,,1936412,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Scientific Equipment,30/11/2021,10131,Sdr Scientific,"206/354 Eastern Valley Way,  Chatswood, Nsw, 2067",No,No,,,,,,,,,360340,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Relocation Services,30/11/2021,12862,Sirva Relocation,"490 Freeman Road,  Richlands, Qld, 4077",No,No,,,,,,,,,360321,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,1/12/2021,21450,A1 Building & Property Solutions Pty Ltd,"3 D'Aguilar Road,  The Gap, Qld, 4061",No,No,,,,,,,,,360406,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Marketing Fees,1/12/2021,16500,Apac Media,"Unit 3102, 55 Forbes Street West End, Qld, 4101",No,No,,,,,,,,,360394,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Library Acquisition Reference Materials,1/12/2021,15895,Australian Medicines Handbook Pty Ltd,"Po Box 240, Rundle Mall Adelaide, Sa, 5000",No,No,,,,,,,,,1932250,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Library Acquisition Reference Materials,1/12/2021,14850,Australian Medicines Handbook Pty Ltd,"Po Box 240, Rundle Mall Adelaide, Sa, 5000",No,No,,,,,,,,,1932251,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,1/12/2021,13200,Cinnamon Watson Publicity,Brisbane,No,No,,,,,,,,,360390,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Membership Fees,1/12/2021,19459,Council Of Aust. University Librarians,"9 Napier Close,  Deakin, Act, 2600",No,No,,,,,,,,,1932329,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Chemical & Biological Products,1/12/2021,27179,Merck Pty Ltd,"Ground Floor, Building 1, 885 Mountain Highway Bayswater, Vic, 3153",No,No,,,,,,,,,360409,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Software,1/12/2021,26236,Miktysh Solutions,"Po Box 16200,  City East, Qld, 4002",No,No,,,,,,,,,360363,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Software,1/12/2021,149898,Oracle Corporation Australia Pty Ltd,"Gpo Box 1313,  Sydney, Nsw, 2001",No,No,,,,,,,,,360364,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Audio Visual Equipment,1/12/2021,16654,Proav Solutions Queensland,"Po Box 2722,  Toowong, Qld, 4066",No,No,,,,,,,,,360389,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Marketing Fees,1/12/2021,130000,Queensland Tertiary Admissions Centre Lt,"Po Box 1331,  Milton, Qld, 4064",No,No,,,,,,,,,360417,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Equipment Maintenance,1/12/2021,40961,Solve Scientific Pty Ltd,"Po Box 3361,  Birkdale, Qld, 4159",No,No,,,,,,,,,360416,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,1/12/2021,15593,Urbis Pty Ltd,"Level 32, 300 George Street,  Brisbane, Qld, 4000",No,No,,,,,,,,,360403,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Chemical & Biological Products,2/12/2021,79987,Bio-Strategy Pty Limited,"P.O Box 14,  Campbellfield, Vic, 3061",No,No,,,,,,,,,360468,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,2/12/2021,66000,Breadcrumb Digital Pty Ltd,"Suite 4, Level 20, 444 Queen Street Brisbane City, Qld, 4000",No,No,,,,,,,,,360463,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Library Acquisition Reference Materials,2/12/2021,16886,Council Of Aust. University Librarians,"9 Napier Close,  Deakin, Act, 2600",No,No,,,,,,,,,1936355,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Library Acquisition Reference Materials,2/12/2021,19069,Council Of Aust. University Librarians,"9 Napier Close,  Deakin, Act, 2600",No,No,,,,,,,,,1936359,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Library Acquisition Reference Materials,2/12/2021,114195,Council Of Aust. University Librarians,"9 Napier Close,  Deakin, Act, 2600",No,No,,,,,,,,,1936406,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,2/12/2021,10000,Digital Science & Research Solutions Inc,"625 Massachusetts Avenue, 2Nd Floor Cambridge, Ma, 02139",No,No,,,,,,,,,360440,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Library Acquisition Reference Materials,2/12/2021,15405,Ebsco International Inc,"Subscription Services, Attn John Siwek North Sydney, Nsw, 2060",No,No,,,,,,,,,1936262,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Library Acquisition Reference Materials,2/12/2021,26642,Ebsco International Inc,"Subscription Services, Attn John Siwek North Sydney, Nsw, 2060",No,No,,,,,,,,,1936267,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Library Acquisition Reference Materials,2/12/2021,68482,Elsevier Inc.,"3251 Riverport Lane,  Maryland Heights, Mo, 63043",No,No,,,,,,,,,1936361 1989005,,GU-612,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,2/12/2021,139208,Ghd Pty Ltd,"Po Box 5403,  Hrmc, Nsw, 2310",No,No,,,,,,,,,360461,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Library Acquisition Reference Materials,2/12/2021,27118,Igroup ( Asia Pacific) Ltd,"Room 3703-5, 37/F, 9 Wing Hong Street, Cheung Sha Wan Kowloon, , ",No,No,,,,,,,,,1936948,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Software Support Maintenance,2/12/2021,41250,Invision Media Pty Ltd,"241 Given Tce, Po Box 5014 Paddington, Qld, 4064",No,No,,,,,,,,,360439,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Library Acquisition Reference Materials,2/12/2021,65999,John Wiley & Sons Inc - Usa,"Po Box 416502,  Boston, Ma, 02241-6502",No,No,,,,,,,,,1936410,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,2/12/2021,43175,Kpmg,"Po Box 2291U,  Melbourne, Vic, 3001",No,No,,,,,,,,,1936949,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,2/12/2021,18150,Mpn Consulting Pty Limited,"Po Box 328,  Toowong, Qld, 4066",No,No,,,,,,,,,360451,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Royalties,2/12/2021,74913,Origin Theatrical Pty Ltd,"Accounts Receivable, Po Box Q1235 Qvb Post Office, Nsw, 1230",No,No,,,,,,,,,1936255,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Library Acquisition Reference Materials,2/12/2021,239747,Rmit Training Pty Ltd,"Po Box 12058  A'Beckett Street,  Melbourne, Vic, 8006",No,No,,,,,,,,,1936193,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Scientific Equipment,2/12/2021,49460,Solar Space Eood,"J.K. Manastirski Livadi,1A Flora Str., Obsidian Building Sofia, , 1404",No,No,,,,,,,,,360442,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Library Acquisition Reference Materials,2/12/2021,139709,Springer Customer Service Centre Gmbh,"Haberstrasse 7,  Heidelberg, , D69126",No,No,,,,,,,,,1936403,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Scientific Equipment,2/12/2021,18881,Tobii Pro Ab,"Se 556914-7613, Karlsrovagen 2D Danderyd, Ab, 18253",No,No,,,,,,,,,360438,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,2/12/2021,1540000,Wiley & Co Pty Ltd,"L3 / 100 Ann St,  Woolloongabba, Qld, 4102",No,No,Open,,,,,,,,1937025,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,2/12/2021,10652,Yougov Singapore Pte Limited,"One Finlayson Green #15-01,  , , 049246",No,No,,,,,,,,,1935911,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,3/12/2021,12824,A1 Building & Property Solutions Pty Ltd,"3 D'Aguilar Road,  The Gap, Qld, 4061",No,No,,,,,,,,,360519,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Membership Fees,3/12/2021,24750,Ainse Ltd,"Locked Bag 2001,  Kirrawee Dc, Nsw, 2232",No,No,,,,,,,,,360551,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Software,3/12/2021,29453,Leap Australia Pty Ltd,"Suite 20, 74-78 The Corso,  Manly, Nsw, 2095",No,No,,,,,,,,,360513,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Audio Visual Equipment,3/12/2021,18124,Proav Solutions Queensland,"Po Box 2722,  Toowong, Qld, 4066",No,No,,,,,,,,,360558,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Clothing,3/12/2021,17903,S-Trend Sportswear,"Level 5/7 Newcomen Street,  Newcastle, Nsw, 2300",No,No,,,,,,,,,360511,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,3/12/2021,24200,The Trustee For Leading Teams Business U,"16-22 Church Street,  Hawthorn, Vic, 3122",No,No,,,,,,,,,360509,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Event Expenditure,4/12/2021,16500,The Ship Inn,"Box 25, Stanley Street Plaza Brisbane, Qld, 4101",No,No,,,,,,,,,1933042,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Marketing Fees,5/12/2021,22000,Media All In One Pty Ltd,"Level 11, 520 Collins Street Melbourne, Vic, 3000",No,No,,,,,,,,,1933817,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Scientific Equipment,6/12/2021,34507,Brightside Scientific Pty Ltd,"2/8 Teamster Close,  Tuggerah, Nsw, 2259",No,No,,,,,,,,,360610,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,6/12/2021,96216,Conrad Gargett Group,"Level 26, 240 Queen Street Brisbane, Qld, 4000",Yes,No,,,,,,,,,360574,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,6/12/2021,65670,Global Reviews (Asia Pacific) Pty Ltd,"Level 8, 432 St Kilda Road,  Melbourne, Vic, 3004",No,No,,,,,,,,,360613,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Event Expenditure,6/12/2021,15295,Gold Coast Convention & Exhibition Centr,"Po Box 1407,  Broadbeach, Qld, 4218",No,No,,,,,,,,,360624,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Computer Equipment,6/12/2021,15454,Jb Hi Fi Group Pty Ltd,"544 Kessells Road,  Macgregor, Qld, 4109",No,No,,,,,,,,,360569,,,,,,
